step;tokens;lr;loss
11620;59744;0.000587;2.242018
11640;59786;0.000586;2.247301
11660;59775;0.000586;2.253863
11680;59721;0.000585;2.255840
11700;59753;0.000585;2.253599
11720;59768;0.000584;2.253224
11740;59814;0.000584;2.262362
11760;59784;0.000583;2.255282
11780;59746;0.000583;2.228749
11800;59761;0.000582;2.236574
11820;59765;0.000582;2.236612
11840;59840;0.000581;2.237433
11860;59755;0.000581;2.242291
11880;59740;0.000580;2.245673
11900;59718;0.000580;2.251272
11920;59789;0.000579;2.252642
11940;59734;0.000579;2.246103
11960;59743;0.000578;2.250268
11980;59846;0.000578;2.259562
12000;59705;0.000577;2.224781
12020;54222;0.000577;2.227102
12040;59726;0.000576;2.223750
12060;59739;0.000576;2.230818
12080;59701;0.000575;2.231465
12100;59678;0.000575;2.238280
12120;59737;0.000574;2.242469
12140;59714;0.000574;2.243982
12160;59686;0.000574;2.245443
12180;59692;0.000573;2.247139
12200;59714;0.000573;2.250599
12220;59832;0.000572;2.255511
12240;59711;0.000572;2.214769
12260;59789;0.000571;2.219521
12280;59745;0.000571;2.226735
12300;59765;0.000570;2.230875
12320;59714;0.000570;2.230300
12340;59736;0.000569;2.238938
12360;59797;0.000569;2.232858
12380;59746;0.000568;2.246224
12400;59702;0.000568;2.241797
12420;59749;0.000568;2.247830
12440;59772;0.000567;2.249617
12460;59725;0.000567;2.245956
12480;59712;0.000566;2.218164
12500;59774;0.000566;2.219849
12520;54136;0.000565;2.223785
12540;59717;0.000565;2.230971
12560;59754;0.000564;2.222302
12580;59836;0.000564;2.231055
12600;59706;0.000563;2.237675
12620;59727;0.000563;2.237432
12640;59790;0.000563;2.244508
12660;59742;0.000562;2.249532
12680;59794;0.000562;2.244160
12700;59745;0.000561;2.247430
12720;59779;0.000561;2.214538
12740;59792;0.000560;2.214174
12760;59740;0.000560;2.216596
12780;59745;0.000559;2.225398
12800;59791;0.000559;2.228802
12820;59739;0.000559;2.233734
12840;59762;0.000558;2.228157
12860;59764;0.000558;2.236057
12880;59779;0.000557;2.239304
12900;59814;0.000557;2.240100
12920;59722;0.000556;2.234990
12940;59767;0.000556;2.225892
12960;59724;0.000556;2.213392
12980;59736;0.000555;2.210266
13000;59789;0.000555;2.219506
13020;52549;0.000554;2.223232
13040;59735;0.000554;2.224019
13060;59787;0.000553;2.222718
13080;59773;0.000553;2.228189
13100;59802;0.000553;2.237016
13120;59715;0.000552;2.232833
13140;59761;0.000552;2.239174
13160;59746;0.000551;2.239417
13180;59766;0.000551;2.206736
13200;59709;0.000550;2.210466
13220;59721;0.000550;2.209586
13240;59770;0.000550;2.217595
13260;59726;0.000549;2.217369
13280;59771;0.000549;2.219570
13300;59769;0.000548;2.224263
13320;59752;0.000548;2.226476
13340;59763;0.000548;2.228507
13360;59787;0.000547;2.236304
13380;59743;0.000547;2.228833
13400;59681;0.000546;2.237789
13420;59753;0.000546;2.207317
13440;59857;0.000546;2.209733
13460;59730;0.000545;2.211083
13480;59675;0.000545;2.213032
13500;59730;0.000544;2.215877
13520;52362;0.000544;2.222121
13540;59765;0.000544;2.219877
13560;59752;0.000543;2.224033
13580;59734;0.000543;2.225039
13600;59735;0.000542;2.225738
13620;59828;0.000542;2.232361
13640;59823;0.000542;2.228578
13660;59677;0.000541;2.201234
13680;59729;0.000541;2.202111
13700;59704;0.000540;2.209896
13720;59842;0.000540;2.213921
13740;59787;0.000540;2.216528
13760;59774;0.000539;2.212442
13780;59761;0.000539;2.218794
13800;59806;0.000538;2.219585
13820;59836;0.000538;2.228109
